time_since_decode_start_s,live_requests,decoded_token_mass,mean_decoded_len
0.0,128,1,0.0078125
0.18521615071222186,128,2,0.015625
0.18569526309147477,128,3,0.0234375
0.1858224361203611,128,4,0.03125
0.18588659772649407,128,5,0.0390625
0.1859498401172459,128,6,0.046875
0.18601275188848376,128,7,0.0546875
0.1860694927163422,128,8,0.0625
0.18612092407420278,128,9,0.0703125
0.18651488376781344,128,10,0.078125
0.1865898258984089,128,11,0.0859375
0.18664591712877154,128,12,0.09375
0.1867033690214157,128,13,0.1015625
0.1867716209962964,128,14,0.109375
0.1868319921195507,128,15,0.1171875
0.37830966291949153,128,16,0.125
0.37885603681206703,128,17,0.1328125
0.3789212480187416,128,18,0.140625
0.3789617889560759,128,19,0.1484375
0.37900000996887684,128,20,0.15625
0.37903830083087087,128,21,0.1640625
0.37907625176012516,128,22,0.171875
0.3791206730529666,128,23,0.1796875
0.3791560339741409,128,24,0.1875
0.37919448502361774,128,25,0.1953125
0.3792350357398391,128,26,0.203125
0.37927140668034554,128,27,0.2109375
0.3793050777167082,128,28,0.21875
0.3796505071222782,128,29,0.2265625
0.37969700805842876,128,30,0.234375
0.3797477390617132,128,31,0.2421875
0.3797854599542916,128,32,0.25
0.3798201810568571,128,33,0.2578125
0.37985349213704467,128,34,0.265625
0.3798862029798329,128,35,0.2734375
0.37991834385320544,128,36,0.28125
0.37995921401306987,128,37,0.2890625
0.3802331518381834,128,38,0.296875
0.3802818628028035,128,39,0.3046875
0.3803176237270236,128,40,0.3125
0.38034932408481836,128,41,0.3203125
0.3803807548247278,128,42,0.328125
0.38041422609239817,128,43,0.3359375
0.3804459567181766,128,44,0.34375
0.4016063651069999,128,45,0.3515625
0.4017915497533977,128,46,0.359375
0.4018420008942485,128,47,0.3671875
0.401882722042501,128,48,0.375
0.402249151840806,128,49,0.3828125
0.4022943926975131,128,50,0.390625
0.40233171405270696,128,51,0.3984375
0.40236827498301864,128,52,0.40625
0.4024043558165431,128,53,0.4140625
0.4024414257146418,128,54,0.421875
0.40247432701289654,128,55,0.4296875
0.40250666812062263,128,56,0.4375
0.4025379689410329,128,57,0.4453125
0.40256945975124836,128,58,0.453125
0.40260898089036345,128,59,0.4609375
0.40264369174838066,128,60,0.46875
0.4031623248010874,128,61,0.4765625
0.4032097361050546,128,62,0.484375
0.4032462169416249,128,63,0.4921875
0.40328059811145067,128,64,0.5
0.40331405913457274,128,65,0.5078125
0.4033504198305309,128,66,0.515625
0.40338348085060716,128,67,0.5234375
0.40341428108513355,128,68,0.53125
0.4034496620297432,128,69,0.5390625
0.4034856129437685,128,70,0.546875
0.4035224639810622,128,71,0.5546875
0.40355935506522655,128,72,0.5625
0.403591426089406,128,73,0.5703125
0.40362165588885546,128,74,0.578125
0.40365515695884824,128,75,0.5859375
0.40368979796767235,128,76,0.59375
0.40392163395881653,128,77,0.6015625
0.40396710485219955,128,78,0.609375
0.4040025360882282,128,79,0.6171875
0.4044246869161725,128,80,0.625
0.4044701480306685,128,81,0.6328125
0.4045067089609802,128,82,0.640625
0.40453890012577176,128,83,0.6484375
0.4045722410082817,128,84,0.65625
0.40460405172780156,128,85,0.6640625
0.4046353818848729,128,86,0.671875
0.40467422269284725,128,87,0.6796875
0.40471002412959933,128,88,0.6875
0.40475338511168957,128,89,0.6953125
0.40478659607470036,128,90,0.703125
0.4048225269652903,128,91,0.7109375
0.40485812770202756,128,92,0.71875
0.40535977110266685,128,93,0.7265625
0.40540329180657864,128,94,0.734375
0.40543688274919987,128,95,0.7421875
0.40546950278803706,128,96,0.75
0.40550041384994984,128,97,0.7578125
0.4055361947976053,128,98,0.765625
0.40556728607043624,128,99,0.7734375
0.4055991671048105,128,100,0.78125
0.40563152683898807,128,101,0.7890625
0.40566612780094147,128,102,0.796875
0.40570137882605195,128,103,0.8046875
0.4057322801090777,128,104,0.8125
0.40577863110229373,128,105,0.8203125
0.40581039199605584,128,106,0.828125
0.40584364300593734,128,107,0.8359375
0.405877323821187,128,108,0.84375
0.40646341908723116,128,109,0.8515625
0.40650690998882055,128,110,0.859375
0.4065404310822487,128,111,0.8671875
0.40657341200858355,128,112,0.875
0.4066098518669605,128,113,0.8828125
0.40664581302553415,128,114,0.890625
0.4066779441200197,128,115,0.8984375
0.4067085450515151,128,116,0.90625
0.4067503558471799,128,117,0.9140625
0.40678617684170604,128,118,0.921875
0.40682337805628777,128,119,0.9296875
0.40685530891641974,128,120,0.9375
0.40688666980713606,128,121,0.9453125
0.4069165997207165,128,122,0.953125
0.4069500109180808,128,123,0.9609375
0.40698561212047935,128,124,0.96875
0.4070196431130171,128,125,0.9765625
0.4070505937561393,128,126,0.984375
0.40707996394485235,128,127,0.9921875
0.40710967499762774,128,128,1.0
0.9563872567377985,128,192,1.5
0.9570103120058775,128,256,2.0
0.9571214150637388,128,320,2.5
0.9572075768373907,128,384,3.0
0.9573165001347661,128,448,3.5
0.9574125129729509,128,512,4.0
0.9574880548752844,128,576,4.5
0.9581171306781471,128,640,5.0
0.9582263426855206,128,704,5.5
0.9583043749444187,128,768,6.0
0.9583825566805899,128,832,6.5
0.9584530587308109,128,896,7.0
0.958519381005317,128,960,7.5
0.9586026729084551,128,1024,8.0
0.9586784951388836,128,1088,8.5
0.9587758877314627,128,1152,9.0
0.959726900793612,128,1216,9.5
0.959856494795531,128,1280,10.0
0.9599380469880998,128,1344,10.5
0.9600082389079034,128,1408,11.0
0.960073459893465,128,1472,11.5
0.9601441021077335,128,1536,12.0
0.9602081337943673,128,1600,12.5
0.9602719149552286,128,1664,13.0
0.960333916824311,128,1728,13.5
0.9604068589396775,128,1792,14.0
0.9604699099436402,128,1856,14.5
0.9605317818932235,128,1920,15.0
0.9605935029685497,128,1984,15.5
0.960663674864918,128,2048,16.0
0.9607298169285059,128,2112,16.5
0.9608149491250515,128,2176,17.0
0.9617750840261579,128,2240,17.5
0.9618665059097111,128,2304,18.0
0.9619466681033373,128,2368,18.5
0.9620163198560476,128,2432,19.0
0.9620879609137774,128,2496,19.5
0.9621545830741525,128,2560,20.0
0.9622208550572395,128,2624,20.5
0.9622842059470713,128,2688,21.0
0.9623449179343879,128,2752,21.5
0.9624060997739434,128,2816,22.0
0.9624736607074738,128,2880,22.5
0.9625417529605329,128,2944,23.0
0.9626183449290693,128,3008,23.5
0.9626829167827964,128,3072,24.0
0.9627595189958811,128,3136,24.5
0.9628216698765755,128,3200,25.0
0.9638200057670474,128,3264,25.5
0.9639113880693913,128,3328,26.0
0.9639839897863567,128,3392,26.5
0.9640521910041571,128,3456,27.0
0.9641187530942261,128,3520,27.5
0.964190024882555,128,3584,28.0
0.9642684767022729,128,3648,28.5
0.9643378988839686,128,3712,29.0
0.9644008800387383,128,3776,29.5
0.9644610919058323,128,3840,30.0
0.9645233028568327,128,3904,30.5
0.9645849447697401,128,3968,31.0
0.9646481471136212,128,4032,31.5
0.96470891777426,128,4096,32.0
0.9647950297221541,128,4160,32.5
0.9648590120486915,128,4224,33.0
0.9649316240102053,128,4288,33.5
0.9665150139480829,128,4352,34.0
0.9666065471246839,128,4416,34.5
0.9666839689016342,128,4480,35.0
0.9667751607485116,128,4544,35.5
0.9668504628352821,128,4608,36.0
0.9669168037362397,128,4672,36.5
0.9669796461239457,128,4736,37.0
0.9670405467040837,128,4800,37.5
0.9671108489856124,128,4864,38.0
0.9671766408719122,128,4928,38.5
0.9672402529977262,128,4992,39.0
0.967311745043844,128,5056,39.5
0.9673812058754265,128,5120,40.0
0.9674443476833403,128,5184,40.5
0.9675079700537026,128,5248,41.0
0.9675712608732283,128,5312,41.5
0.9676338527351618,128,5376,42.0
0.9676945637911558,128,5440,42.5
0.9677766161039472,128,5504,43.0
0.9678387278690934,128,5568,43.5
0.9678997891023755,128,5632,44.0
0.9679602310061455,128,5696,44.5
0.9680202431045473,128,5760,45.0
0.9680906836874783,128,5824,45.5
0.9681558860465884,128,5888,46.0
0.9682209878228605,128,5952,46.5
0.9682821887545288,128,6016,47.0
0.968342041131109,128,6080,47.5
0.9684032518416643,128,6144,48.0
0.9684675638563931,128,6208,48.5
0.9685308048501611,128,6272,49.0
0.9701988478191197,128,6336,49.5
0.9702884899452329,128,6400,50.0
0.9703578320331872,128,6464,50.5
0.970439993776381,128,6528,51.0
0.9705087658949196,128,6592,51.5
0.9705719370394945,128,6656,52.0
0.9706324390135705,128,6720,52.5
0.9707016609609127,128,6784,53.0
0.9707804229110479,128,6848,53.5
0.9708431037142873,128,6912,54.0
0.9709036056883633,128,6976,54.5
0.9709621667861938,128,7040,55.0
0.9710219190455973,128,7104,55.5
0.9710796996951103,128,7168,56.0
0.9711360121145844,128,7232,56.5
0.9711947329342365,128,7296,57.0
0.9712548446841538,128,7360,57.5
0.9713114560581744,128,7424,58.0
0.9713775278069079,128,7488,58.5
0.9714414388872683,128,7552,59.0
0.9715069509111345,128,7616,59.5
0.9715811628848314,128,7680,60.0
0.9716526251286268,128,7744,60.5
0.9717209660448134,128,7808,61.0
0.9717982481233776,128,7872,61.5
0.9718645899556577,128,7936,62.0
0.9719347921200097,128,8000,62.5
0.9719985537230968,128,8064,63.0
0.9720660648308694,128,8128,63.5
0.9721301067620516,128,8192,64.0
0.9721889179199934,128,8256,64.5
0.9722480899654329,128,8320,65.0
1.5224403450265527,128,8384,65.5
1.523237125016749,128,8448,66.0
1.5233680377714336,128,8512,66.5
1.523465360980481,128,8576,67.0
1.5235695028677583,128,8640,67.5
1.5236616060137749,128,8704,68.0
1.5237772287800908,128,8768,68.5
1.5238730506971478,128,8832,69.0
1.5239651738665998,128,8896,69.5
1.5240507260896266,128,8960,70.0
1.5246027898974717,128,9024,70.5
1.5247108926996589,128,9088,71.0
1.5248197549954057,128,9152,71.5
1.5249053570441902,128,9216,72.0
1.5249877599999309,128,9280,72.5
1.5250674220733345,128,9344,73.0
1.5260305060073733,128,9408,73.5
1.5261584999971092,128,9472,74.0
1.526261551771313,128,9536,74.5
1.5263560740277171,128,9600,75.0
1.5264449869282544,128,9664,75.5
1.5265328390523791,128,9728,76.0
1.5266167907975614,128,9792,76.5
1.5266984631307423,128,9856,77.0
1.5267945458181202,128,9920,77.5
1.5268808379769325,128,9984,78.0
1.5269639301113784,128,10048,78.5
1.5270467419177294,128,10112,79.0
1.5271319937892258,128,10176,79.5
1.5272218957543373,128,10240,80.0
1.527305169031024,128,10304,80.5
1.5273845409974456,128,10368,81.0
1.528414866887033,128,10432,81.5
1.528521629050374,128,10496,82.0
1.5286207520402968,128,10560,82.5
1.5287072737701237,128,10624,83.0
1.528817777056247,128,10688,83.5
1.5289053288288414,128,10752,84.0
1.5289941718801856,128,10816,84.5
1.5290828738361597,128,10880,85.0
1.5291617759503424,128,10944,85.5
1.5292389378882945,128,11008,86.0
1.529324300121516,128,11072,86.5
1.5294143417850137,128,11136,87.0
1.5294922241009772,128,11200,87.5
1.5295697757974267,128,11264,88.0
1.5296440278179944,128,11328,88.5
1.5297158397734165,128,11392,89.0
1.530874579679221,128,11456,89.5
1.5309832920320332,128,11520,90.0
1.5310725937597454,128,11584,90.5
1.5311545967124403,128,11648,91.0
1.5312361288815737,128,11712,91.5
1.531312430743128,128,11776,92.0
1.5313953626900911,128,11840,92.5
1.5314712347462773,128,11904,93.0
1.5315518067218363,128,11968,93.5
1.531631828751415,128,12032,94.0
1.5317129609175026,128,12096,94.5
1.5318086328916252,128,12160,95.0
1.531888484954834,128,12224,95.5
1.5319659169763327,128,12288,96.0
1.5320436987094581,128,12352,96.5
1.5321151111274958,128,12416,97.0
1.532199062872678,128,12480,97.5
1.5322806648910046,128,12544,98.0
1.5323565667495131,128,12608,98.5
1.5339600178413093,128,12672,99.0
1.534069440793246,128,12736,99.5
1.5341563527472317,128,12800,100.0
1.534243294969201,128,12864,100.5
1.534331456758082,128,12928,101.0
1.5344131188467145,128,12992,101.5
1.534495912026614,128,13056,102.0
1.534573283046484,128,13120,102.5
1.5346522447653115,128,13184,103.0
1.5347338980063796,128,13248,103.5
1.534835809841752,128,13312,104.0
1.5349149918183684,128,13376,104.5
1.5349871437065303,128,13440,105.0
1.535067276097834,128,13504,105.5
1.5351448077708483,128,13568,106.0
1.535221530124545,128,13632,106.5
1.5352950817905366,128,13696,107.0
1.5353678241372108,128,13760,107.5
1.5354430358856916,128,13824,108.0
1.5355145977810025,128,13888,108.5
1.5355905997566879,128,13952,109.0
1.5356720020063221,128,14016,109.5
1.5357669238001108,128,14080,110.0
1.5358467157930136,128,14144,110.5
1.535926607903093,128,14208,111.0
1.536002289969474,128,14272,111.5
1.5360787017270923,128,14336,112.0
1.5361509737558663,128,14400,112.5
1.5362228648737073,128,14464,113.0
1.5378915979526937,128,14528,113.5
1.5380007210187614,128,14592,114.0
1.5380936129949987,128,14656,114.5
1.5381841259077191,128,14720,115.0
1.5382793778553605,128,14784,115.5
1.5383593798615038,128,14848,116.0
1.5384395620785654,128,14912,116.5
1.5385140138678253,128,14976,117.0
1.5385964657180011,128,15040,117.5
1.5386756579391658,128,15104,118.0
1.5387612897902727,128,15168,118.5
1.538839751854539,128,15232,119.0
1.5389133840799332,128,15296,119.5
1.538986425846815,128,15360,120.0
1.5390706080943346,128,15424,120.5
1.539150440134108,128,15488,121.0
1.539236441720277,128,15552,121.5
1.5393102737143636,128,15616,122.0
1.5393913057632744,128,15680,122.5
1.5394691778346896,128,15744,123.0
1.5395523197948933,128,15808,123.5
1.5396385230123997,128,15872,124.0
1.5397213948890567,128,15936,124.5
1.5398219367489219,128,16000,125.0
1.5398989990353584,128,16064,125.5
1.5399729409255087,128,16128,126.0
1.5400535729713738,128,16192,126.5
1.5401304047554731,128,16256,127.0
1.5402083569206297,128,16320,127.5
1.5402827188372612,128,16384,128.0
1.540355160832405,128,16448,128.5
1.5404280116781592,128,16512,129.0
2.0754363308660686,128,16576,129.5
2.076000124681741,128,16640,130.0
2.0761241377331316,128,16704,130.5
2.076232710853219,128,16768,131.0
2.076333433855325,128,16832,131.5
2.0764275859110057,128,16896,132.0
2.0765208578668535,128,16960,132.5
2.0771444337442517,128,17024,133.0
2.0772659271024168,128,17088,133.5
2.0773623697459698,128,17152,134.0
2.0774526218883693,128,17216,134.5
2.077536233700812,128,17280,135.0
2.0776213160715997,128,17344,135.5
2.0777006479911506,128,17408,136.0
2.0777982608415186,128,17472,136.5
2.077881853096187,128,17536,137.0
2.078764276113361,128,17600,137.5
2.078882658854127,128,17664,138.0
2.078980361111462,128,17728,138.5
2.079066513106227,128,17792,139.0
2.079156125895679,128,17856,139.5
2.0792427877895534,128,17920,140.0
2.0793336797505617,128,17984,140.5
2.079431641846895,128,18048,141.0
2.0795271447859704,128,18112,141.5
2.0796199571341276,128,18176,142.0
2.079706939868629,128,18240,142.5
2.0798092517070472,128,18304,143.0
2.0799040249548852,128,18368,143.5
2.079999116715044,128,18432,144.0
2.0800890289247036,128,18496,144.5
2.080171230714768,128,18560,145.0
2.0811743368394673,128,18624,145.5
2.0812920397147536,128,18688,146.0
2.0813901820220053,128,18752,146.5
2.0814754138700664,128,18816,147.0
2.081564227119088,128,18880,147.5
2.081648848950863,128,18944,148.0
2.0817536008544266,128,19008,148.5
2.081845283973962,128,19072,149.0
2.0819271658547223,128,19136,149.5
2.0820128079503775,128,19200,150.0
2.082103529945016,128,19264,150.5
2.0821948926895857,128,19328,151.0
2.0822769249789417,128,19392,151.5
2.0823543267324567,128,19456,152.0
2.0824342290870845,128,19520,152.5
2.082519490737468,128,19584,153.0
2.084015548694879,128,19648,153.5
2.0841236817650497,128,19712,154.0
2.0842212638817728,128,19776,154.5
2.0843084771186113,128,19840,155.0
2.0844054990448058,128,19904,155.5
2.0844922810792923,128,19968,156.0
2.0845895130187273,128,20032,156.5
