batch_size,model,bf16_merged_tok_s,qlora_torch_twostream_tok_s,kernel_mixed_estimated_tok_s,whole_policy_best_tok_s,kernel_guided_frontier_tok_s,qlora_speedup_vs_bf16,mixed_estimated_speedup_vs_bf16,frontier_speedup_vs_bf16,bf16_projection_kernel_us,qlora_projection_kernel_us,mixed_projection_kernel_us,qlora_projection_count,select_qkv,select_o,select_gate_up,select_down
1,qwen2.5-14b,53.688465000785335,116.05533988013775,116.05533988013775,116.05533988013775,116.05533988013775,2.161643844323732,2.161643844323732,2.161643844323732,453.6319952458143,215.03999829292297,215.03999829292297,4,qlora,qlora,qlora,qlora
4,qwen2.5-14b,182.8275923327416,521.6196445245307,521.6196445245307,521.6196445245307,521.6196445245307,2.8530684995030517,2.8530684995030517,2.8530684995030517,428.5440035164356,225.2800017595291,225.2800017595291,4,qlora,qlora,qlora,qlora
8,qwen2.5-14b,432.3679023498497,934.3311743764995,934.3311743764995,934.3311743764995,934.3311743764995,2.160963312259214,2.160963312259214,2.160963312259214,428.5440035164356,230.40000349283218,230.40000349283218,4,qlora,qlora,qlora,qlora
16,qwen2.5-14b,855.3343157761195,1844.2945293343314,1844.2945293343314,1844.2945293343314,1844.2945293343314,2.1562265132094485,2.1562265132094485,2.1562265132094485,430.59200793504715,228.35200279951096,228.35200279951096,4,qlora,qlora,qlora,qlora
32,qwen2.5-14b,1551.7586416421873,2876.997379103384,2876.997379103384,2876.997379103384,2876.997379103384,1.854023752082173,1.854023752082173,1.854023752082173,439.2960034310818,259.0719945728779,259.0719945728779,4,qlora,qlora,qlora,qlora
64,qwen2.5-14b,2893.505195927441,3896.970234480484,3932.276662036498,3896.970234480484,3932.276662036498,1.3467991140867495,1.359001071631428,1.359001071631428,431.61600828170776,337.9199951887131,334.84799414873123,3,qlora,bf16,qlora,qlora
128,qwen2.5-14b,4545.674295848382,4909.464187821138,4610.050498543268,4909.464187821138,4909.464187821138,1.0800299071812094,1.014162079925894,1.0800299071812094,476.1599972844124,505.8559998869896,467.9679945111275,1,bf16,bf16,bf16,qlora
256,qwen2.5-14b,5857.724467285974,5391.29130532005,5857.724467285974,5857.724467285974,5857.724467285974,0.920372976815341,1.0,1.0,671.7439889907837,886.7840096354485,671.7439889907837,0,bf16,bf16,bf16,bf16
512,qwen2.5-14b,6484.942517314578,5663.784332531698,6587.469041223189,6484.942517314578,6587.469041223189,0.8733746393911102,1.0158099356524548,1.0158099356524548,1236.991971731186,1698.815956711769,1211.39195561409,1,qlora,bf16,bf16,bf16
