batch_size,n_requests,lifecycle_json,baseline_drain_s,frontier_speedup_vs_bf16,estimation_method,scaled_fraction,estimated_drain_s,estimated_saved_s,estimated_e2e_throughput_gain,baseline_requests_per_s,estimated_requests_per_s,output_len_p50,output_len_p99,output_len_max,estimated_total_output_tokens,finish_reasons
128,128,.rollout-profile/request-lifetime-cot/results_tp4/bs128/lifecycle.json,191.94157121609896,1.0800299071812094,bin,1.0,114.46049487757509,77.48107633852388,1.676924177388856,0.6668696061463942,1.1182897657126725,2212.0,17636.39,21501,606863.0,"{""stop"": 128}"
256,256,.rollout-profile/request-lifetime-cot/results_tp4/bs256/lifecycle.json,318.58775978628546,1.0,bin,1.0,199.0599734568623,119.52778632942315,1.6004611788784633,0.8035462510290086,1.2860445802052565,2199.0,22734.099999999988,32768,1171203.0,"{""length"": 1, ""stop"": 255}"
512,512,.rollout-profile/request-lifetime-cot/results_tp4/bs512/lifecycle.json,464.5657476359047,1.0158099356524548,bin,1.0,348.42369626647866,116.14205136942604,1.3333356847250688,1.1021044978143137,1.4694752552318262,2074.0,29363.87999999998,32768,2481223.0,"{""length"": 5, ""stop"": 507}"
